tarih,olay,tahmini_ilgi_seviyesi,aciklama,kaynak
2023-09-27,Meta Connect 2023 — Gen 2 tanitimi,Yuksek spike,Urun duyurusu medya etkisi,Meta Newsroom
2023-10-17,Gen 2 satis baslangici,Orta-yuksek,Ilk satis donemi,Wikipedia
2023-12-25,Tatil sezonu 2023,Yuksek,Hediye alisverisi donemi,Genel
2024-04-23,Multimodal AI + Ferrari Edition,Orta spike,Ozellik guncellemesi ve limited edition,Meta Newsroom
2024-09-25,Meta Connect 2024 — yeni ozellikler,Yuksek spike,WhatsApp/Shazam/Be My Eyes,Meta Blog
2024-10-04,I-XRAY yuz tanima haberi,Yuksek spike,Viral gizlilik haberi — medyada genis yer,Boston Globe
2024-12-25,Tatil sezonu 2024,Cok yuksek,2024'te 1M satis — hediye talebi,Visiofactory
2025-01-06,New Orleans saldirgan haberi (FBI),Yuksek spike,Guvenlik endiseli viral haber,CNN
2025-03-01,v11 — Live AI + ceviri + Shazam,Orta spike,Buyuk yazilim guncellemesi,Meta Blog
2025-05-11,Havalimani hirsizlik viral videosu,Orta spike,Sosyal medyada viral,YouTube
2025-09-18,Meta Connect 2025 — Display + Gen 2 + Oakley,En yuksek spike,3 urun tanitimi — medya patlamasi,Meta Blog / PetaPixel
2025-09-30,Ray-Ban Meta Display satisa sunuldu — 48 saatte tukendi,Cok yuksek,Stok tukenmesi haberleri,9to5Google
2025-10-01,Okullarda yasaklanma haberleri,Orta spike,Egitim gizlilik tartismasi,Slate
2026-01-13,Bloomberg: Uretim 2x arttirilacak,Orta spike,Uretim haberi,Bloomberg
2026-02-26,Zuckerberg mahkemede — gozluk yasaklandi,Yuksek spike,Viral haber — hakim gozlugu yasakladi,Entrepreneur
2026-03-04,Toplu dava (class action) haberi,Yuksek spike,Gizlilik davasi medyada genis yer,PetaPixel / Engadget
2026-03-31,Receteli modeller duyuruldu,Orta spike,Yeni urun kategorisi,TechCrunch
2026-06-01,Yuz tanima kodu kesfedildi,Orta-yuksek spike,Gizlilik endiseli haber,Foundern
